time,REE_open,REE_high,REE_low,REE_close,REE_volume,FMC_open,FMC_high,FMC_low,FMC_close,FMC_volume,DHC_open,DHC_high,DHC_low,DHC_close,DHC_volume
2024-01-02,48.54,49.21,48.2,48.54,779590,42.97,44.17,42.97,43.78,18200,36.32,36.46,35.94,36.08,118392
2024-01-03,48.54,48.79,48.2,48.62,376152,43.54,43.88,43.5,43.69,26222,36.08,36.41,36.08,36.36,163177
2024-01-04,48.88,49.64,48.54,48.71,899128,43.88,44.07,43.64,43.83,19700,36.36,37.5,36.32,37.08,319156
2024-01-05,48.71,48.79,48.37,48.45,555100,43.74,43.88,43.59,43.88,26206,37.22,38.31,36.84,37.98,467567
2024-01-08,48.45,48.79,47.95,47.95,920506,44.12,44.17,43.88,43.88,34900,38.45,39.73,38.36,39.5,897677
2024-01-09,47.61,47.86,47.27,47.36,1088205,44.22,44.46,43.88,44.46,105000,39.4,39.73,38.93,39.31,551193
2024-01-10,47.52,47.61,46.93,47.1,684484,44.55,44.55,43.88,43.88,33320,39.31,39.4,38.69,38.69,265830
2024-01-11,47.1,47.36,46.93,47.1,430404,43.98,43.98,43.74,43.88,43300,38.69,39.12,38.69,38.69,90736
2024-01-12,47.02,47.1,46.43,46.51,792673,43.69,43.88,43.01,43.16,49100,38.17,38.69,38.17,38.6,364058
2024-01-15,46.51,47.1,46.51,46.6,193593,43.01,43.26,42.49,42.58,33501,38.6,39.69,38.31,39.4,357495
2024-01-16,46.68,47.19,46.34,46.93,311396,42.53,42.58,41.86,42.05,61932,39.4,39.64,39.21,39.4,237042
2024-01-17,46.93,47.61,46.68,47.36,350082,42.05,43.01,41.96,42.05,25900,39.21,39.4,38.93,38.97,136056
2024-01-18,47.44,47.52,46.93,47.02,296824,42.24,42.24,40.9,41.48,100885,38.97,39.64,38.97,39.5,603805
2024-01-19,47.02,47.61,46.85,47.27,288408,41.81,42.82,41.48,42.1,163700,39.59,39.59,39.26,39.31,212866
2024-01-22,47.69,47.69,47.19,47.36,218338,41.57,42.1,41.52,41.67,60700,39.31,39.31,38.55,38.55,223672
2024-01-23,47.36,48.45,47.27,48.03,495237,41.62,41.67,41.19,41.19,90048,38.93,39.02,38.55,38.6,75012
2024-01-24,48.03,48.12,47.52,47.95,232377,41.28,41.38,41.09,41.19,86704,38.6,38.93,38.55,38.64,140558
2024-01-25,47.69,47.95,47.1,47.52,357292,41.14,41.28,41.14,41.19,59608,38.69,38.88,38.45,38.45,89316
2024-01-26,47.36,47.69,47.27,47.44,415943,41.19,41.72,41.19,41.57,19200,38.55,38.83,37.93,38.07,188604
2024-01-29,47.44,47.95,47.36,47.69,338629,41.38,41.96,41.38,41.86,69220,38.17,38.5,37.65,37.79,200945
2024-01-30,47.52,47.78,47.27,47.61,710711,42.1,43.16,41.91,43.11,79531,38.07,38.69,38.07,38.64,215739
2024-01-31,47.86,47.95,47.02,47.27,592351,43.21,43.21,42.53,42.92,61400,39.07,40.54,38.74,40.16,622856
2024-02-01,47.27,47.61,46.68,46.77,886542,42.82,43.98,42.63,43.35,144212,40.26,40.35,39.88,39.92,434249
2024-02-02,46.68,47.36,46.43,46.43,725061,43.35,44.12,43.11,43.4,75556,39.97,40.35,39.83,39.92,486394
2024-02-05,46.68,47.44,46.6,46.85,594933,44.27,44.36,43.83,44.17,113911,39.92,40.3,39.78,39.88,355196
2024-02-06,46.85,47.78,46.85,47.44,610931,44.17,44.27,44.07,44.07,32645,40.21,40.21,39.4,39.88,185115
2024-02-07,47.69,47.86,47.52,47.69,323806,44.07,44.07,43.78,44.07,55725,40.35,40.35,39.83,39.97,266685
2024-02-15,47.78,49.8,47.78,49.21,1291392,44.27,44.75,44.07,44.27,187467,40.35,40.35,39.21,39.88,224801
2024-02-16,49.21,50.48,49.21,49.55,891768,44.27,44.7,44.27,44.46,46001,39.73,39.78,39.45,39.5,386562
2024-02-19,49.8,50.06,49.3,49.97,1088195,44.46,45.42,44.31,44.75,113027,39.59,40.16,39.54,39.69,190423
2024-02-20,50.06,50.06,49.38,49.64,626086,44.84,45.23,44.75,44.99,33025,39.73,39.73,39.45,39.5,101881
2024-02-21,49.64,50.99,49.38,50.82,1074514,45.18,45.18,44.55,44.75,35300,39.69,39.69,39.16,39.4,278554
2024-02-22,50.9,50.9,50.23,50.31,466586,44.75,44.94,43.98,43.98,81510,39.31,41.11,39.12,40.54,762885
2024-02-23,50.39,50.65,49.38,49.38,1051386,44.03,45.23,44.03,44.46,114809,40.54,40.64,39.5,39.5,257544
2024-02-26,49.72,49.72,48.96,49.04,840189,44.46,47.54,43.93,46.67,339870,39.64,40.45,39.54,40.26,419130
2024-02-27,49.64,50.06,49.21,49.89,655015,46.86,47.15,46.19,46.19,131745,40.26,40.45,39.69,40.16,593856
2024-02-28,50.23,51.75,49.97,51.66,1565959,46.29,46.67,45.52,45.52,156004,40.16,40.3,39.59,40.07,249382
2024-02-29,51.66,52.51,51.49,51.66,981417,45.61,46.86,45.56,46.0,156026,40.07,40.07,39.21,39.69,249994
2024-03-01,51.66,53.1,51.66,52.59,1219253,46.38,46.38,46.0,46.0,87474,39.69,39.97,39.59,39.97,362281
2024-03-04,52.59,53.35,52.17,52.51,1404079,46.24,46.53,45.52,45.52,128276,40.35,41.49,40.35,40.73,797885
2024-03-05,52.59,53.52,52.25,53.43,1129980,45.52,46.48,45.32,46.19,144354,40.73,40.83,40.35,40.64,313058
2024-03-06,53.26,53.35,52.51,52.67,757384,46.24,46.62,45.9,46.24,95816,40.73,40.73,39.97,39.97,415269
2024-03-07,52.59,53.26,52.51,53.18,1108310,46.29,46.48,46.0,46.29,120234,40.16,40.83,39.4,40.83,422673
2024-03-08,53.18,54.53,53.01,53.26,1690974,46.67,46.67,46.24,46.38,148800,41.11,41.21,40.07,40.07,267074
2024-03-11,53.18,53.18,51.83,52.34,1057379,46.29,47.73,46.24,46.62,134105,40.07,41.3,39.88,40.54,698367
2024-03-12,52.34,53.1,52.0,52.34,1020734,47.06,47.06,46.62,47.06,95100,40.54,40.97,40.21,40.64,248843
2024-03-13,52.84,54.19,52.59,53.69,1471115,47.2,48.21,47.15,47.73,178944,41.21,42.25,40.92,41.87,618877
2024-03-14,54.19,54.7,53.77,54.28,1257473,47.78,49.08,47.78,48.4,182349,41.59,44.77,41.59,43.67,1162520
2024-03-15,54.45,54.45,53.18,54.02,809650,48.6,48.98,47.83,47.92,117199,43.72,43.77,43.15,43.58,630289
2024-03-18,54.02,54.02,51.15,52.08,1555213,47.87,47.92,46.29,46.43,128108,43.58,43.82,40.92,41.49,646920
2024-03-19,52.67,52.67,51.66,52.17,905943,46.48,47.63,46.48,46.96,44260,41.54,42.44,41.54,41.78,306913
2024-03-20,52.25,52.59,51.58,52.42,823360,46.96,47.49,46.86,47.25,45220,41.78,42.11,41.11,41.44,224871
2024-03-21,53.1,53.26,52.42,53.1,968157,47.97,48.4,47.15,48.12,123924,41.49,42.82,41.49,42.06,825322
2024-03-22,53.94,54.78,53.35,54.11,1680649,47.97,48.12,47.63,47.63,128047,41.78,42.35,41.4,41.78,474760
2024-03-25,54.11,55.04,53.35,53.6,1017832,47.3,47.97,46.38,47.15,128310,41.78,41.97,40.83,41.4,479613
2024-03-26,53.6,54.45,53.43,54.11,705759,47.15,48.02,46.72,48.02,72317,41.25,41.49,40.87,41.49,210902
2024-03-27,54.45,54.45,53.77,53.94,640155,48.12,48.31,47.97,48.07,28114,41.78,41.78,41.4,41.59,370309
2024-03-28,54.19,54.28,53.77,53.94,516396,48.07,48.4,47.63,48.31,23826,41.59,42.25,41.49,41.73,469858
2024-03-29,53.94,54.53,53.69,53.86,884521,48.31,48.31,46.72,46.72,50126,41.68,41.82,41.44,41.44,182020
2024-04-01,53.86,54.19,52.84,53.43,1105427,46.96,47.63,46.96,47.39,25238,41.49,41.49,40.83,40.83,466312
2024-04-02,53.6,54.11,53.18,54.11,987871,47.3,48.07,47.3,48.07,54010,40.83,41.63,40.4,41.54,233011
2024-04-03,54.19,54.95,53.6,53.77,1182227,48.79,48.88,47.73,48.79,145161,41.68,42.54,41.4,41.87,717123
2024-04-04,53.6,53.77,53.01,53.1,943695,48.88,48.88,47.25,48.02,56993,41.59,41.87,40.92,41.02,349839
2024-04-05,53.01,53.43,52.84,52.84,620751,48.02,48.12,47.15,48.12,134203,40.83,41.02,40.45,40.54,333059
2024-04-08,52.67,52.93,52.17,52.76,760638,48.6,48.6,47.68,48.21,64238,40.45,40.45,39.88,40.02,269921
2024-04-09,52.93,53.18,52.76,53.01,486954,48.21,48.5,48.02,48.31,74125,39.92,40.21,39.92,40.07,163032
2024-04-10,53.18,53.35,52.84,52.84,560158,48.31,48.6,48.12,48.12,34467,40.35,40.49,39.5,39.5,206939
2024-04-11,52.34,53.1,52.34,53.1,849092,47.25,48.4,47.25,48.02,57821,39.4,39.64,39.21,39.5,134114
2024-04-12,53.61,53.95,53.18,53.87,641959,48.12,48.4,47.63,47.63,44901,39.59,39.97,39.45,39.97,168392
2024-04-15,53.35,53.87,52.15,52.24,1364392,47.63,47.63,45.23,45.23,108280,39.88,39.88,37.27,37.31,388871
2024-04-16,52.41,52.58,51.21,51.81,1127709,45.23,45.95,45.23,45.66,70738,37.36,37.5,36.6,37.31,387585
2024-04-17,52.15,52.5,51.47,51.47,676496,48.6,48.6,45.71,47.15,30500,37.5,37.74,36.27,36.65,234721
2024-04-19,50.69,51.47,49.49,49.75,1577895,45.32,46.96,45.32,46.38,30100,36.36,36.36,35.13,36.08,424974
2024-04-22,50.01,51.12,49.92,50.52,880026,46.96,46.96,46.09,46.53,15137,37.22,37.5,36.08,36.36,155334
2024-04-23,50.27,50.69,49.92,50.09,816436,46.53,46.58,45.9,46.24,28215,36.74,36.74,36.13,36.55,80501
2024-04-24,50.52,52.07,50.35,51.72,1084738,46.96,47.54,45.81,47.06,78768,36.84,37.31,36.74,37.12,44750
2024-04-25,51.64,51.64,50.87,51.47,615280,47.06,47.15,46.77,47.15,20460,37.12,37.12,36.41,36.41,237676
2024-04-26,51.29,53.01,50.87,52.84,1228590,47.15,47.59,46.67,46.72,45880,36.41,36.41,35.7,36.08,403450
2024-05-02,52.5,55.07,52.32,55.07,2466357,46.72,47.35,46.58,46.86,22450,36.08,36.46,35.98,36.08,122857
2024-05-03,55.07,56.53,55.07,56.53,3665401,47.92,47.92,47.15,47.54,23535,36.46,36.46,36.08,36.13,177895
2024-05-06,56.87,56.87,55.84,56.01,1613605,47.97,50.04,47.97,49.94,119850,36.17,37.31,36.17,37.03,490137
2024-05-07,56.53,56.53,55.58,55.76,1419900,49.94,50.23,49.37,49.75,72361,37.12,37.41,36.84,36.98,389736
2024-05-08,56.27,57.13,55.5,56.96,3578672,49.27,50.04,49.27,49.85,71859,37.03,37.22,36.74,37.03,370764
2024-05-09,57.73,57.9,56.44,56.61,1332458,51.48,52.93,50.04,51.58,161592,37.41,38.55,37.27,37.41,626500
2024-05-10,56.87,57.04,55.76,56.61,1203649,51.58,51.58,50.04,50.81,32808,37.5,37.69,37.03,37.03,388531
2024-05-13,57.13,58.33,56.53,57.47,1528399,51.19,51.48,51.0,51.0,139835,37.27,37.27,36.17,36.27,776668
2024-05-14,58.07,58.07,56.96,57.13,592918,51.0,51.0,49.45,50.0,68401,36.27,36.84,36.27,36.84,146156
2024-05-15,57.13,57.64,56.96,57.13,1107509,50.5,51.2,50.0,50.0,55944,36.89,37.46,36.79,37.03,449645
2024-05-16,57.81,59.19,57.21,58.84,1738682,50.1,51.2,50.1,50.7,32621,37.6,37.6,37.08,37.17,323136
2024-05-17,59.1,59.19,58.33,58.33,1483345,50.7,51.1,50.5,51.1,81611,37.17,38.83,37.17,38.83,1720663
2024-05-20,58.67,58.84,57.56,57.9,1281576,50.9,51.1,50.2,50.5,108421,38.97,39.45,38.6,38.64,496761
2024-05-21,58.99,59.09,57.9,58.39,1070162,50.3,50.4,49.6,49.7,124145,38.74,38.74,37.98,38.41,607529
2024-05-22,58.3,58.99,58.1,58.39,668317,50.0,50.6,50.0,50.6,56941,38.45,39.69,38.41,38.83,769621
2024-05-23,58.3,60.86,57.8,60.66,2223278,50.0,51.0,50.0,50.7,59008,38.83,40.4,38.64,39.88,878707
2024-05-24,60.76,60.76,58.79,59.97,1416788,50.3,51.5,50.3,51.0,111104,39.73,39.88,38.36,38.83,861532
2024-05-27,60.17,61.35,59.68,61.35,1002470,51.2,52.6,50.9,52.6,65074,38.93,39.21,38.22,38.55,342943
2024-05-28,61.65,62.64,61.16,62.44,1048638,52.7,53.0,51.5,52.0,72405,38.83,39.07,38.17,39.07,491135
2024-05-29,62.64,62.64,60.96,61.16,754618,52.0,52.9,51.5,52.3,46906,39.12,40.07,38.93,39.5,825469
2024-05-30,60.66,61.16,60.27,61.16,1136145,51.0,51.9,50.0,51.3,62833,39.45,40.78,39.21,40.26,869623
2024-05-31,61.55,61.95,60.66,61.45,732168,51.0,51.6,50.5,50.5,69910,40.35,41.02,40.07,40.54,635561
2024-06-03,61.65,62.34,61.55,62.14,760418,50.9,52.0,50.8,51.0,45750,41.3,41.3,40.35,40.4,653120
2024-06-04,62.14,62.24,61.45,61.65,463189,51.0,51.7,50.8,51.4,73703,40.59,40.64,40.07,40.45,571893
2024-06-05,61.45,62.04,61.45,61.75,681853,51.4,51.5,51.0,51.2,46128,40.68,41.97,40.3,41.87,1196554
