time,REE_close,FMC_close,DHC_close
2024-01-02,48.54,43.78,36.08
2024-01-03,48.62,43.69,36.36
2024-01-04,48.71,43.83,37.08
2024-01-05,48.45,43.88,37.98
2024-01-08,47.95,43.88,39.5
2024-01-09,47.36,44.46,39.31
2024-01-10,47.1,43.88,38.69
2024-01-11,47.1,43.88,38.69
2024-01-12,46.51,43.16,38.6
2024-01-15,46.6,42.58,39.4
2024-01-16,46.93,42.05,39.4
2024-01-17,47.36,42.05,38.97
2024-01-18,47.02,41.48,39.5
2024-01-19,47.27,42.1,39.31
2024-01-22,47.36,41.67,38.55
2024-01-23,48.03,41.19,38.6
2024-01-24,47.95,41.19,38.64
2024-01-25,47.52,41.19,38.45
2024-01-26,47.44,41.57,38.07
2024-01-29,47.69,41.86,37.79
2024-01-30,47.61,43.11,38.64
2024-01-31,47.27,42.92,40.16
2024-02-01,46.77,43.35,39.92
2024-02-02,46.43,43.4,39.92
2024-02-05,46.85,44.17,39.88
2024-02-06,47.44,44.07,39.88
2024-02-07,47.69,44.07,39.97
2024-02-15,49.21,44.27,39.88
2024-02-16,49.55,44.46,39.5
2024-02-19,49.97,44.75,39.69
2024-02-20,49.64,44.99,39.5
2024-02-21,50.82,44.75,39.4
2024-02-22,50.31,43.98,40.54
2024-02-23,49.38,44.46,39.5
2024-02-26,49.04,46.67,40.26
2024-02-27,49.89,46.19,40.16
2024-02-28,51.66,45.52,40.07
2024-02-29,51.66,46.0,39.69
2024-03-01,52.59,46.0,39.97
2024-03-04,52.51,45.52,40.73
2024-03-05,53.43,46.19,40.64
2024-03-06,52.67,46.24,39.97
2024-03-07,53.18,46.29,40.83
2024-03-08,53.26,46.38,40.07
2024-03-11,52.34,46.62,40.54
2024-03-12,52.34,47.06,40.64
2024-03-13,53.69,47.73,41.87
2024-03-14,54.28,48.4,43.67
2024-03-15,54.02,47.92,43.58
2024-03-18,52.08,46.43,41.49
2024-03-19,52.17,46.96,41.78
2024-03-20,52.42,47.25,41.44
2024-03-21,53.1,48.12,42.06
2024-03-22,54.11,47.63,41.78
2024-03-25,53.6,47.15,41.4
2024-03-26,54.11,48.02,41.49
2024-03-27,53.94,48.07,41.59
2024-03-28,53.94,48.31,41.73
2024-03-29,53.86,46.72,41.44
2024-04-01,53.43,47.39,40.83
2024-04-02,54.11,48.07,41.54
2024-04-03,53.77,48.79,41.87
2024-04-04,53.1,48.02,41.02
2024-04-05,52.84,48.12,40.54
2024-04-08,52.76,48.21,40.02
2024-04-09,53.01,48.31,40.07
2024-04-10,52.84,48.12,39.5
2024-04-11,53.1,48.02,39.5
2024-04-12,53.87,47.63,39.97
2024-04-15,52.24,45.23,37.31
2024-04-16,51.81,45.66,37.31
2024-04-17,51.47,47.15,36.65
2024-04-19,49.75,46.38,36.08
2024-04-22,50.52,46.53,36.36
2024-04-23,50.09,46.24,36.55
2024-04-24,51.72,47.06,37.12
2024-04-25,51.47,47.15,36.41
2024-04-26,52.84,46.72,36.08
2024-05-02,55.07,46.86,36.08
2024-05-03,56.53,47.54,36.13
2024-05-06,56.01,49.94,37.03
2024-05-07,55.76,49.75,36.98
2024-05-08,56.96,49.85,37.03
2024-05-09,56.61,51.58,37.41
2024-05-10,56.61,50.81,37.03
2024-05-13,57.47,51.0,36.27
2024-05-14,57.13,50.0,36.84
2024-05-15,57.13,50.0,37.03
2024-05-16,58.84,50.7,37.17
2024-05-17,58.33,51.1,38.83
