time,smb,hml,rmrf,rf
2010-07-30,0.072561535,0.0335668,0.00570137,-0.0024414
2010-08-31,-0.084894135,0.0115656,0.0236869,0.00328355
2010-09-30,-0.0060539,-0.01289,0.00348832,0.00406113
2010-10-29,-0.112620708,-0.0016633,0.005688,0.000430849
2010-11-30,-0.0065772,-0.025319,0.011717,0.0183228
2010-12-31,-0.103516022,0.0358904,0.00677192,0.00186019
2011-01-31,-0.064954054,-0.042209,0.0157556,0.0157762
2011-02-28,-0.011912,0.0262399,-0.011971,0.00678124
2011-03-31,-0.036121,-0.02348,0.00236936,0.00653709
2011-04-29,-0.076386245,-0.040258,0.0151185,0
2011-05-31,-0.055256,0.057107,0.0224945,0.0215013
2011-06-30,-0.0073669,-0.018781,-0.00474,0.00266729
2011-07-29,0.0116998,-0.024959,-0.0065868,-0.010452
2011-08-31,-0.064431952,0.0536405,0.0129991,-0.00007992
2011-09-30,0.0167325,0.0227474,-0.0011213,-0.0059191
2011-10-31,0.0197746,-0.060885,-0.0029853,-0.022212
2011-11-30,0.0416465,-0.074159465,-0.0057717,-0.00086546
2011-12-30,0.0309665,-0.034968,0.00296711,0.0237833
2012-01-31,-0.02906,-0.002615,0.0078714,0.000847523
2012-02-29,-0.064643999,0.057594,0.00336318,0.0115021
2012-03-30,-0.041243,0.092898217,0.0031845,0.000436605
2012-04-30,-0.057441,0.120697983,0.00757109,-0.016312
2012-05-31,0.0201819,0.0251242,-0.014104,-0.0016187
2012-06-29,0.00095099,-0.039746,0.0100679,-0.019737
2012-07-31,-0.0054882,-0.0035403,-0.001253,-0.009046
2012-08-31,-0.0046974,-0.037683,-0.0030963,-0.0024088
2012-09-28,0.011564,-0.069854833,-0.0019576,0.00348824
2012-10-31,-0.016959,-0.0064799,-0.0036936,-0.0053822
2012-11-30,0.0330455,-0.0047292,-0.0010048,-0.00022743
2012-12-31,-0.046779,0.0575456,0.0091714,0.000934252
2013-01-31,-0.080111726,-0.045948,-0.016017,0.00012639
2013-02-28,0.000668904,0.0185044,0.0189814,0
2013-03-29,0.00754526,-0.059492,0.000754071,-0.01139
2013-04-30,0.0363722,-0.027414,-0.0043643,0
2013-05-31,-0.072436194,0.0218375,-0.0058683,-0.013307
2013-06-28,0.068298144,-0.00055526,-0.0037685,-0.009532
2013-07-31,0.00544862,-0.054914,0.00677529,0.00204853
2013-08-30,0.0156759,0.0205437,0.0088571,0.0258446
2013-09-30,-0.029111,0.000586061,0.0123713,-0.009849
2013-10-31,0.00212018,0.0583669,-0.0033262,0.00271985
2013-11-29,0.0305063,0.176220346,0.000137874,-0.0016054
2013-12-31,0.0148981,-0.012649,0.008554,0
2014-01-31,-0.009024,-0.056816,-0.0065513,0
2014-02-28,-0.0062202,0.093506281,0.00288993,0.0055068
2014-03-31,0.00476189,0.197521761,-0.0045769,-0.01743
2014-04-30,-0.00027018,-0.097351814,0.00855,-0.00041973
2014-05-30,-0.006321,-0.042763,0.00639269,-0.0062257
2014-06-30,-0.0043204,0.00118479,-0.0011921,0.0024262
2014-07-31,-0.0057499,0.0113727,0.0114367,-0.0060176
2014-08-29,-0.015454,0.0179364,0.00730978,0
2014-09-30,0.0419271,0.0528439,-0.0016339,-0.0016803
2014-10-31,0.026585,-0.0061119,0.0198595,0.0109802
2014-11-28,0.0481082,0.062754722,-0.011014,0
2014-12-31,0.0196853,-0.012461,0.0149934,0
2015-01-30,-0.049583,-0.022528,-0.012361,0
2015-02-27,-0.0072412,-0.018916,-0.0069547,-0.008137
2015-03-31,0.0478982,0.0177982,0.0108953,0.00234993
2015-04-30,0.0292825,-0.074456095,-0.0059565,0
2015-05-29,0.0097936,-0.045017,-0.0059514,0
2015-06-30,0.0145592,-0.029501,0.00219687,0
2015-07-31,-0.029705,-0.0034704,-0.008794,0
2015-08-31,0.084051816,-0.031008,-0.01072,0.00278109
2015-09-30,0.00612341,0.019141,0.0025838,-0.0027663
2015-10-30,-0.056716,0.00243947,0.00358559,-0.0046427
2015-11-30,0.046123,0.00184443,-0.016573,0.00249273
2015-12-31,0.0102015,0.0260388,-0.00072483,0
2016-01-29,0.0333602,0.00672742,0.0107142,0.000402982
2016-02-29,0.021253,-0.008792,-0.011906,0.000831947
2016-03-31,0.0198952,0.0564204,-0.015248,-0.0024886
2016-04-29,0.00194855,-0.049035,0.0113239,-0.001233
2016-05-31,0.00111406,-0.020266,0.00641172,-0.009635
2016-06-30,0.0558701,-0.022333,0.00339618,-0.0035039
2016-07-29,-0.035355,-0.030123,-0.0074718,0.00167224
2016-08-31,-0.012337,-0.035285,0.00291376,-0.00052521
2016-09-30,0.0447288,-0.070617627,-0.0040956,-0.00030572
2016-10-31,0.00764059,0.0608917,-0.009454,-0.0125
2016-11-30,0.025392,0.0164737,0.0103455,-0.0045547
2016-12-30,0.0452112,-0.034729,0.000225659,-0.037054
2017-01-31,-0.05016,0.0078765,0.0085628,-0.00024839
2017-02-28,-0.050677,0.115588474,-0.009269,0.0067832
2017-03-31,-0.014625,0.0309956,-0.0021413,-0.018808
2017-04-28,-0.008291,-0.00021107,0.00167474,0
2017-05-31,-0.056385,0.085548087,-0.0005283,0.0573401
2017-06-30,0.00691031,-0.026222,0.00611597,0.00111951
2017-07-31,0.00415431,0.0316733,0.0083131,0.00288554
2017-08-31,-0.018926,0.029001,0.00527837,0.00126422
2017-09-29,0.0177971,-0.042068,-0.00049701,-0.0012655
2017-10-31,-0.009126,-0.073993559,-0.009371,0
2017-11-30,-0.113330108,-0.026071,-0.0023211,-0.0047811
2017-12-29,-0.045047,0.0100365,0.00769924,-0.0056972
2018-01-31,-0.10225883,-0.005291,-0.00018018,-0.027526
2018-02-28,0.0082087,-0.037958,0.00172381,-0.0007874
2018-03-30,-0.0059087,-0.050502,0.00636659,-0.056452
2018-04-30,0.083810654,-0.0024231,0.00516816,0
2018-05-31,0.071252238,-0.029615,0.0239852,0.0415418
2018-06-29,-0.011686,0.0281635,0.00358281,-0.0035874
2018-07-31,-0.022842,0.0337124,0.00701252,-0.034434
2018-08-31,-0.027431,-0.00069655,-0.008546,0.0156137
2018-09-28,-0.028741,0.0445867,0.00173336,0.0413879
2018-10-31,0.080746623,-0.044828,0.0293353,-0.00796
2018-11-30,0.00466788,-0.018487,-0.00026975,-0.00024033
2018-12-31,0.0366568,-0.007875,-0.009181,-0.00073511
2019-01-31,-0.011247,-0.008655,-0.0056669,-0.017973
2019-02-28,-0.016637,-0.03082,-0.025044,0.00683761
2019-03-29,0.0259562,0.0070004,-0.0022584,-0.010992
2019-04-30,0.0107036,0.0209674,0.00565633,0
2019-05-31,0.013366,-0.0064034,-0.009759,0
2019-06-28,0.00402961,0.00572288,0.007242,0
2019-07-31,-0.0032288,-0.0012742,0.00571997,0.000341413
2019-08-30,-0.021739,0.074781904,0.00558967,-0.012478
2019-09-30,0.0239656,-0.017496,-0.0012828,0.000352237
2019-10-31,-0.017399,0.0202576,-0.0020682,-0.037528
2019-11-29,0.02871,-0.0029763,0.000370985,0.0298364
2019-12-31,0.0047631,-0.010141,-0.0041864,-0.024342
2020-01-31,0.0394644,-0.031116,-0.023927,0.113970588
2020-02-28,0.0177395,0.0358063,-0.018087,-0.037726
2020-03-31,0.116012815,0.038185,0.000407695,0.0427892
2020-04-30,-0.16410957,0.093732324,0.00247651,-0.05339
2020-05-29,-0.048354,0.0102741,0.00357562,-0.030769
2020-06-30,0.0239143,-0.0046088,-0.0051244,0
2020-07-31,0.0573924,-0.040186,-0.0034202,0
2020-08-31,-0.053227,0.093985883,0.00303761,0.0299252
2020-09-30,-0.027562,0.0161785,-0.00007732,-0.011111
2020-10-30,-0.019941,-0.012862,0.0069526,0.00318471
2020-11-30,-0.097152963,0.0457052,-0.0070678,0
2020-12-31,-0.054646,0.15142123,0.00576744,0.0305085
2021-01-29,0.0455357,0.0483407,0.0319062,-0.018237
2021-02-26,-0.095918016,0.072996489,0.00260839,0.083573487
2021-03-31,0.0095489,0.189443031,0.00428192,0
2021-04-30,0.002484,-0.045163,0.0080029,-0.263157895
2021-05-31,-0.110785747,0.0347084,0.005748,0.068219634
2021-06-30,-0.011434,0.0109959,-0.0010567,-0.02
2021-07-30,0.0469008,-0.038002,0.0127165,0
