time,rmw,cma,hml,smb_ave,rmrf,rf,month,year
2010-07-30,-0.0022952,0.0183832,0.0335668,0.077511228,0.00570137,-0.0024414,7,2010
2010-08-31,0.0578705,0.038095,0.0115656,-0.074864712,0.0236869,0.00328355,8,2010
2010-09-30,-0.0036264,-0.013542,-0.01289,-0.008455,0.00348832,0.00406113,9,2010
2010-10-29,0.0508115,0.0319036,-0.0016633,-0.106842762,0.005688,0.000430849,10,2010
2010-11-30,-0.01676,0.0173858,-0.025319,-0.015388,0.011717,0.0183228,11,2010
2010-12-31,-0.013142,-0.0052512,0.0358904,-0.09866204,0.00677192,0.00186019,12,2010
2011-01-31,0.0510305,0.0313458,-0.042209,-0.067875771,0.0157556,0.0157762,1,2011
2011-02-28,0.0065546,0.00109419,0.0262399,-0.0058661,-0.011971,0.00678124,2,2011
2011-03-31,0.0369259,0.0367709,-0.02348,-0.031807,0.00236936,0.00653709,3,2011
2011-04-29,-0.066630997,0.077923914,-0.040258,-0.089719891,0.0151185,0,4,2011
2011-05-31,0.047834,-0.0025876,0.057107,-0.032826,0.0224945,0.0215013,5,2011
2011-06-30,0.0197128,0.0117481,-0.018781,-0.0051836,-0.00474,0.00266729,6,2011
2011-07-29,0.0206006,0.00250814,-0.024959,0.00098493,-0.0065868,-0.010452,7,2011
2011-08-31,-0.064830168,0.00422762,0.0536405,-0.059088,0.0129991,-0.00007992,8,2011
2011-09-30,-0.053773,0.00115714,0.0227474,0.0150094,-0.0011213,-0.0059191,9,2011
2011-10-31,0.00682467,0.000856161,-0.060885,0.00118391,-0.0029853,-0.022212,10,2011
2011-11-30,0.0552352,-0.01754,-0.074159465,0.0228285,-0.0057717,-0.00086546,11,2011
2011-12-30,0.077290599,-0.013992,-0.034968,0.0216394,0.00296711,0.0237833,12,2011
2012-01-31,-0.009488,0.0593809,-0.002615,-0.038432,0.0078714,0.000847523,1,2012
2012-02-29,0.000414362,0.016686,0.057594,-0.048059,0.00336318,0.0115021,2,2012
2012-03-30,-0.014098,-0.038811,0.092898217,-0.013835,0.0031845,0.000436605,3,2012
2012-04-30,-0.0024993,-0.031829,0.120697983,-0.013996,0.00757109,-0.016312,4,2012
2012-05-31,-0.018708,0.0114666,0.0251242,0.0250503,-0.014104,-0.0016187,5,2012
2012-06-29,0.00406873,-0.012296,-0.039746,-0.017936,0.0100679,-0.019737,6,2012
2012-07-31,0.0259775,-0.005047,-0.0035403,-0.0041805,-0.001253,-0.009046,7,2012
2012-08-31,0.0566076,0.087718733,-0.037683,-0.0015828,-0.0030963,-0.0024088,8,2012
2012-09-28,0.0323136,0.0074482,-0.069854833,-0.01869,-0.0019576,0.00348824,9,2012
2012-10-31,0.0298027,0.01004,-0.0064799,-0.01356,-0.0036936,-0.0053822,10,2012
2012-11-30,0.0588508,-0.0012187,-0.0047292,0.0328231,-0.0010048,-0.00022743,11,2012
2012-12-31,-0.035208,-0.078740224,0.0575456,-0.041953,0.0091714,0.000934252,12,2012
2013-01-31,0.0203786,-0.033993,-0.045948,-0.103152736,-0.016017,0.00012639,1,2013
2013-02-28,0.00647933,-0.019742,0.0185044,0.0149139,0.0189814,0,2,2013
2013-03-29,0.08644387,0.0298589,-0.059492,-0.013095,0.000754071,-0.01139,3,2013
2013-04-30,0.0500891,0.0142575,-0.027414,0.0362317,-0.0043643,0,4,2013
2013-05-31,-0.021612,0.000304523,0.0218375,-0.062098,-0.0058683,-0.013307,5,2013
2013-06-28,0.014739,0.0171527,-0.00055526,0.073931287,-0.0037685,-0.009532,6,2013
2013-07-31,0.063010782,0.0096524,-0.054914,-0.010514,0.00677529,0.00204853,7,2013
2013-08-30,-0.0029801,-0.014256,0.0205437,0.0201304,0.0088571,0.0258446,8,2013
2013-09-30,0.0177972,0.00489858,0.000586061,-0.032053,0.0123713,-0.009849,9,2013
2013-10-31,-0.0003447,0.0266734,0.0583669,0.0223946,-0.0033262,0.00271985,10,2013
2013-11-29,-0.101263403,-0.02907,0.176220346,0.080266923,0.000137874,-0.0016054,11,2013
2013-12-31,-0.016404,-0.025896,-0.012649,0.0149169,0.008554,0,12,2013
2014-01-31,0.0452056,0.000687174,-0.056816,-0.023238,-0.0065513,0,1,2014
2014-02-28,-0.078250282,-0.044379,0.093506281,0.0276871,0.00288993,0.0055068,2,2014
2014-03-31,-0.155234832,-0.048061,0.197521761,0.0592812,-0.0045769,-0.01743,3,2014
2014-04-30,0.134052829,0.0469666,-0.097351814,-0.025265,0.00855,-0.00041973,4,2014
2014-05-30,0.0466269,0.0135148,-0.042763,-0.01876,0.00639269,-0.0062257,5,2014
2014-06-30,0.0098813,-0.017892,0.00118479,-0.00048086,-0.0011921,0.0024262,6,2014
2014-07-31,0.0275102,0.0188588,0.0113727,-0.00027847,0.0114367,-0.0060176,7,2014
2014-08-29,-0.021986,-0.022769,0.0179364,-0.014016,0.00730978,0,8,2014
2014-09-30,-0.045696,-0.031686,0.0528439,0.0556044,-0.0016339,-0.0016803,9,2014
2014-10-31,0.0166522,0.000353399,-0.0061119,0.0277826,0.0198595,0.0109802,10,2014
2014-11-28,-0.060024,-0.0016049,0.062754722,0.074783436,-0.011014,0,11,2014
2014-12-31,0.0323891,0.00304136,-0.012461,0.0219519,0.0149934,0,12,2014
2015-01-30,0.080459794,0.0279917,-0.022528,-0.038676,-0.012361,0,1,2015
2015-02-27,0.00567333,-0.0065487,-0.018916,-0.0066407,-0.0069547,-0.008137,2,2015
2015-03-31,-0.013073,-0.029065,0.0177982,0.053335,0.0108953,0.00234993,3,2015
2015-04-30,0.0346836,0.0093313,-0.074456095,0.00617695,-0.0059565,0,4,2015
2015-05-29,0.0204667,-0.01172,-0.045017,-0.0038107,-0.0059514,0,5,2015
2015-06-30,0.0161783,-0.002624,-0.029501,0.00394864,0.00219687,0,6,2015
2015-07-31,0.0441612,0.0196895,-0.0034704,-0.029744,-0.008794,0,7,2015
2015-08-31,0.0431707,0.0177499,-0.031008,0.08199719,-0.01072,0.00278109,8,2015
2015-09-30,0.00205956,-0.021931,0.019141,0.0114225,0.0025838,-0.0027663,9,2015
2015-10-30,0.0292147,0.00482573,0.00243947,-0.053858,0.00358559,-0.0046427,10,2015
2015-11-30,-0.037814,-0.024437,0.00184443,0.0387307,-0.016573,0.00249273,11,2015
2015-12-31,-0.005197,-0.0041916,0.0260388,0.0287564,-0.00072483,0,12,2015
2016-01-29,-0.0014545,-0.024657,0.00672742,0.0322499,0.0107142,0.000402982,1,2016
2016-02-29,-0.0067761,0.0078147,-0.008792,0.0216827,-0.011906,0.000831947,2,2016
2016-03-31,0.0276123,0.029351,0.0564204,0.0446754,-0.015248,-0.0024886,3,2016
2016-04-29,0.0562629,-0.020713,-0.049035,-0.01316,0.0113239,-0.001233,4,2016
2016-05-31,0.0136766,0.00151246,-0.020266,-0.0002414,0.00641172,-0.009635,5,2016
2016-06-30,0.0374265,0.0097551,-0.022333,0.0404347,0.00339618,-0.0035039,6,2016
2016-07-29,0.074251331,-0.052964,-0.030123,-0.047515,-0.0074718,0.00167224,7,2016
2016-08-31,0.0244338,0.00563335,-0.035285,-0.018931,0.00291376,-0.00052521,8,2016
2016-09-30,0.00544272,-0.019938,-0.070617627,0.0190174,-0.0040956,-0.00030572,9,2016
2016-10-31,-0.0048937,-0.022786,0.0608917,0.0221755,-0.009454,-0.0125,10,2016
2016-11-30,0.0213763,-0.0054753,0.0164737,0.0290742,0.0103455,-0.0045547,11,2016
2016-12-30,-0.008541,-0.041233,-0.034729,0.0224736,0.000225659,-0.037054,12,2016
2017-01-31,0.0253025,0.0234715,0.0078765,-0.047202,0.0085628,-0.00024839,1,2017
2017-02-28,-0.053198,-0.0262,0.115588474,-0.022524,-0.009269,0.0067832,2,2017
2017-03-31,-0.011105,0.0324077,0.0309956,0.0041178,-0.0021413,-0.018808,3,2017
2017-04-28,0.00717762,-0.067594641,-0.00021107,-0.016018,0.00167474,0,4,2017
2017-05-31,-0.048098,0.00544969,0.085548087,-0.034084,-0.0005283,0.0573401,5,2017
2017-06-30,-0.0126,0.000157735,-0.026222,0.00249326,0.00611597,0.00111951,6,2017
2017-07-31,-0.00061934,-0.022698,0.0316733,0.0161555,0.0083131,0.00288554,7,2017
2017-08-31,-0.013764,-0.009018,0.029001,-0.023907,0.00527837,0.00126422,8,2017
2017-09-29,0.0097825,0.0501388,-0.042068,0.0099498,-0.00049701,-0.0012655,9,2017
2017-10-31,-0.034859,0.00732229,-0.073993559,-0.049281,-0.009371,0,10,2017
2017-11-30,0.074009251,0.014957,-0.026071,-0.111270742,-0.0023211,-0.0047811,11,2017
2017-12-29,0.0253367,0.082395619,0.0100365,-0.038645,0.00769924,-0.0056972,12,2017
2018-01-31,0.0549432,0.079249923,-0.005291,-0.087210098,-0.00018018,-0.027526,1,2018
2018-02-28,0.0542532,0.0223161,-0.037958,0.00567925,0.00172381,-0.0007874,2,2018
2018-03-30,0.0237426,0.027099,-0.050502,-0.025497,0.00636659,-0.056452,3,2018
2018-04-30,0.02778,-0.00082133,-0.0024231,0.087212261,0.00516816,0,4,2018
2018-05-31,0.0097647,-0.03981,-0.029615,0.0590618,0.0239852,0.0415418,5,2018
2018-06-29,-0.00052138,0.0111019,0.0281635,-0.0064393,0.00358281,-0.0035874,6,2018
2018-07-31,-0.016214,-0.025358,0.0337124,-0.017486,0.00701252,-0.034434,7,2018
2018-08-31,0.00763521,-0.00018594,-0.00069655,-0.030327,-0.008546,0.0156137,8,2018
2018-09-28,-0.020894,-0.030375,0.0445867,-0.015748,0.00173336,0.0413879,9,2018
2018-10-31,0.026277,0.00546314,-0.044828,0.080492469,0.0293353,-0.00796,10,2018
2018-11-30,-0.0029866,0.0166379,-0.018487,-0.0034384,-0.00026975,-0.00024033,11,2018
2018-12-31,0.00176567,-0.013308,-0.007875,0.0334225,-0.009181,-0.00073511,12,2018
2019-01-31,0.0502166,0.0235049,-0.008655,-0.009701,-0.0056669,-0.017973,1,2019
2019-02-28,0.00585148,-0.009707,-0.03082,-0.032595,-0.025044,0.00683761,2,2019
2019-03-29,-0.033046,0.0178739,0.0070004,0.0325228,-0.0022584,-0.010992,3,2019
2019-04-30,-0.003468,-0.01889,0.0209674,0.0122929,0.00565633,0,4,2019
2019-05-31,-0.031908,-0.017804,-0.0064034,0.0090333,-0.009759,0,5,2019
2019-06-28,-0.0032272,0.0145104,0.00572288,0.00655187,0.007242,0,6,2019
2019-07-31,0.0114551,0.099490041,-0.0012742,-0.0048649,0.00571997,0.000341413,7,2019
2019-08-30,0.0080574,0.0314346,0.074781904,0.00314617,0.00558967,-0.012478,8,2019
2019-09-30,0.0223561,0.0096848,-0.017496,0.00706345,-0.0012828,0.000352237,9,2019
2019-10-31,0.0213645,0.0149826,0.0202576,0.00297669,-0.0020682,-0.037528,10,2019
2019-11-29,-0.0033628,-0.03258,-0.0029763,0.0177868,0.000370985,0.0298364,11,2019
